,track.uri,track.name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature
36,13plQdOoWSSXPRUSZc5FuM,I Know You Want Me (Calle Ocho),0.0152,0.817,237120.0,0.733,4.31e-05,0.107,-6.009,0.145,127.056,0.833,2.0,4.0
37,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,0.141,0.528,225493.0,0.965,0.985,0.0797,-7.984,0.0465,136.065,0.587,11.0,4.0
38,3jagJCUbdqhDSPuxP8cAqF,Work It,0.0778,0.884,263227.0,0.677,0.0,0.0732,-5.603,0.283,101.868,0.584,1.0,4.0
39,1GLx5tpDdwEFiA7KaikvX2,Beautiful,0.125,0.739,312987.0,0.945,0.0,0.112,-4.443,0.0881,130.018,0.627,0.0,4.0
40,7M13FwBAKWNa2jqcZeUhL6,Love Generation - Radio Edit,0.192,0.723,204798.0,0.872,0.000154,0.0814,-3.617,0.0586,128.038,0.544,1.0,4.0
41,0F2BxpbxH8Yc3pLub48hrb,Pjanoo - Radio Edit,0.000563,0.605,157432.0,0.874,0.812,0.112,-4.949,0.0295,125.99,0.836,7.0,4.0
42,7F1lHcpnTycnimQrCxDFI5,Hot,0.0798,0.816,217037.0,0.94,0.444,0.431,-6.079,0.28,128.0,0.596,7.0,4.0
43,5ReOsbat3U1k2KMD8GLxoh,Get Back (ASAP),0.0438,0.714,209336.0,0.912,0.35,0.17,-3.865,0.0391,127.988,0.718,0.0,4.0
44,6oIEIdJL9kDbBrGIyLZHIT,Stereo Love,0.0338,0.778,247615.0,0.776,0.0216,0.0772,-5.359,0.0362,127.049,0.361,9.0,4.0
45,3C0nOe05EIt1390bVABLyN,On The Floor,0.105,0.73,284867.0,0.777,0.000478,0.0691,-5.194,0.0496,130.0,0.575,3.0,4.0
46,2MHhLr6esBwaKCKkQ40PWL,Summerlove,0.343,0.647,202609.0,0.859,0.000406,0.162,-4.948,0.0466,127.933,0.65,7.0,4.0
