track.uri,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,club_compatible
6YjCAqtpVi8F1PI9H6HxuV,0.14,0.699,281840.0,0.922,0.0174,0.0644,-4.981,0.0555,124.088,0.886,9.0,4.0,no
5qMlR7H2grzxhgn1G1YrRK,0.0395,0.666,225760.0,0.999,0.0,0.181,-4.256,0.067,138.033,0.699,2.0,4.0,no
3LqgIcZbof8TVo388hm2YJ,0.0966,0.689,217027.0,0.975,3.03e-05,0.34,-3.837,0.0351,132.969,0.958,1.0,4.0,no
2jZRqcRbe0ALAoB044Udhf,0.000889,0.806,412874.0,0.714,0.00215,0.0877,-4.512,0.0797,128.001,0.59,10.0,4.0,no
30YTtFOhwtz4Y6hPdgUIba,0.0188,0.667,219693.0,0.992,0.0,0.0647,-2.748,0.056,127.99,0.791,1.0,4.0,no
0BSmbCIY36iw04azzJ3S0S,0.806,0.374,315173.0,0.504,0.0,0.76,-8.407,0.0392,109.025,0.27,2.0,5.0,no
4iImfXY0e5LNqYkKKOT4SZ,0.00774,0.797,258751.0,0.664,5.95e-06,0.359,-6.452,0.0912,144.989,0.5,4.0,4.0,no
6zW1hkLt5Yw4aWRDAOsDwU,0.0494,0.898,214799.0,0.814,0.0166,0.14,-7.167,0.0367,137.002,0.977,7.0,4.0,no
3i4Qi0GWrTjN37hrq5ufRv,0.0162,0.683,262027.0,0.857,0.0155,0.124,-6.253,0.0306,119.019,0.763,11.0,4.0,no
1jeCbuzUpvFnHZH2Tainn3,0.186,0.651,217587.0,0.703,2.06e-05,0.413,-7.166,0.0308,130.011,0.321,1.0,4.0,no
5u2jfoWZdJPbHvYkl7fXpi,0.093,0.574,283800.0,0.676,0.000876,0.363,-7.494,0.0447,146.036,0.342,5.0,4.0,no
7d5XXhfKCMLTKSz4SwTOvO,0.159,0.615,261853.0,0.725,0.000193,0.0993,-5.425,0.032,76.498,0.458,2.0,4.0,no
6J67EGJHXJj1UVvNHEGWCU,0.0227,0.586,216520.0,0.964,9.86e-06,0.0362,-4.994,0.0568,117.001,0.747,2.0,4.0,no
4IJcJ3bQZOiuORx2oZly9n,0.000463,0.684,241787.0,0.873,0.923,0.369,-5.404,0.0328,130.004,0.107,1.0,4.0,no
2I4pOUFc0fRCRpxYvUbzg4,0.0071,0.676,186430.0,0.983,0.0,0.271,-5.322,0.0536,142.017,0.536,11.0,4.0,no
2MGRnjJc7C0z3EOEWRqcMw,0.0331,0.773,199387.0,0.813,3.77e-05,0.192,-4.609,0.0797,127.93,0.707,4.0,4.0,no
3M0w3fhdXByHLCNAoi5c9G,0.0728,0.559,294347.0,0.636,0.0,0.144,-4.4,0.0263,95.485,0.214,7.0,4.0,no
0Th4docCLcGaM0KgkOvKHP,0.0242,0.675,219440.0,0.99,0.0,0.0588,-3.914,0.0559,127.981,0.786,1.0,4.0,no
7mPoCVGP752A5DtHf1SKkM,0.632,0.462,230717.0,0.773,0.0,0.212,-5.375,0.288,86.157,0.455,8.0,4.0,no
